-.-.-
-21,-248,52,-20,93,-8
-21,-249,55,-9,86,-5
-20,-246,52,-2,79,-5
-28,-247,59,-5,84,-6
-21,-246,64,-18,86,-7
-24,-244,61,-32,90,-4
-18,-246,60,-51,95,-4
-21,-247,59,-66,97,-3
-21,-245,58,-77,93,0
-22,-248,59,-80,91,-2
-26,-248,58,-79,86,-1
-25,-248,59,-78,78,4
-24,-250,57,-69,72,9
-23,-243,58,-56,69,10
-20,-241,55,-51,71,3
-26,-242,58,-58,78,-6
-24,-247,56,-66,80,-8
-28,-248,53,-66,82,-7
-27,-248,54,-61,82,-5
-25,-250,53,-55,80,-4
-27,-248,54,-50,82,-4
-28,-250,60,-45,82,-5
-29,-250,57,-44,83,-6
-31,-248,55,-44,81,-8
-27,-251,56,-41,77,-9
-25,-249,56,-39,75,-7
-26,-251,62,-35,75,-8
-29,-248,58,-35,74,-7
-28,-249,55,-38,73,-7
-27,-245,55,-46,73,-4
-27,-246,57,-51,72,-6
-27,-246,56,-55,72,-5
-29,-242,55,-58,71,-7
-25,-247,54,-59,69,-8
-23,-243,57,-56,68,-6
-25,-245,55,-51,69,-5
-26,-248,60,-46,69,-7
-25,-246,55,-44,70,-6
-27,-243,58,-44,73,-5
-27,-244,59,-48,75,-6
-28,-245,57,-54,76,-3
-29,-244,57,-62,77,-4
-27,-247,55,-70,77,-2
-26,-245,57,-74,77,-1
-27,-248,55,-79,76,0
-29,-247,57,-81,76,0
-24,-247,62,-85,76,2
-28,-246,63,-89,76,3
-31,-245,63,-95,76,4
-26,-244,62,-103,75,3
-22,-250,64,-109,78,1
-26,-247,63,-114,78,1
-26,-247,62,-125,80,3
-24,-246,64,-143,81,1
-25,-247,63,-167,81,2
-25,-244,60,-194,80,4
-23,-246,64,-223,80,5
-27,-246,65,-250,80,5
-22,-245,59,-273,80,6
-24,-246,57,-294,79,9
-26,-243,60,-313,79,11
-26,-244,60,-326,81,13
-26,-243,61,-338,83,14
-22,-244,56,-347,88,14
-22,-247,58,-353,95,12
-24,-247,59,-360,98,10
-22,-247,58,-365,104,5
-25,-249,54,-373,112,-2
-24,-246,46,-390,119,-10
-32,-244,50,-424,130,-18
-27,-249,52,-448,130,-28
-29,-251,57,-452,140,-38
-24,-256,58,-442,142,-46
-25,-256,55,-421,144,-52
-26,-255,52,-392,147,-59
-26,-252,58,-356,149,-64
-25,-248,51,-323,149,-66
-25,-247,55,-314,151,-62
-31,-243,53,-315,155,-65
-24,-239,53,-314,154,-68
-27,-246,56,-314,163,-65
-28,-249,48,-308,175,-70
-26,-248,52,-289,204,-74
-28,-247,56,-277,216,-71
-27,-248,53,-277,216,-72
-27,-246,52,-288,220,-73
-28,-245,52,-310,216,-72
-29,-245,54,-343,209,-72
-31,-245,52,-371,201,-73
-29,-248,50,-392,196,-76
-31,-251,54,-406,188,-79
-28,-248,51,-413,181,-82
-26,-249,47,-419,177,-85
-29,-247,48,-423,171,-86
-29,-250,46,-423,166,-89
-28,-248,46,-423,161,-91
-26,-249,46,-427,158,-94
-25,-249,43,-436,157,-98
-24,-246,43,-445,155,-100
-20,-249,40,-448,157,-103
-20,-248,39,-447,158,-104
-19,-247,41,-441,159,-101
-21,-246,43,-436,160,-101
-21,-246,39,-439,162,-98
-23,-246,37,-445,161,-96
-24,-246,34,-456,159,-95
-30,-244,38,-465,159,-91
-25,-246,35,-471,158,-87
-30,-247,34,-480,154,-82
-26,-249,30,-486,149,-75
-26,-251,34,-490,146,-69
-27,-250,29,-485,142,-63
-28,-249,34,-471,141,-58
-25,-249,31,-451,142,-53
-24,-248,28,-432,143,-48
-27,-247,27,-412,146,-44
-26,-243,25,-396,149,-39
-22,-244,23,-385,151,-33
-24,-241,21,-377,157,-25
-25,-242,16,-378,160,-19
-18,-240,16,-390,167,-9
-16,-241,14,-407,172,1
-11,-240,15,-418,177,9
-12,-240,16,-421,185,15
-13,-243,13,-421,196,22
-10,-241,10,-425,206,29
-10,-241,5,-430,221,33
-5,-244,6,-436,236,34
-3,-247,4,-436,251,36
0,-246,3,-434,268,35
1,-246,3,-427,286,32
0,-246,7,-421,301,31
3,-250,8,-411,314,26
2,-248,2,-405,323,21
4,-248,6,-405,328,18
2,-253,1,-410,333,13
3,-252,0,-425,336,10
1,-254,0,-439,337,9
1,-254,0,-449,336,6
-5,-255,-8,-453,330,10
-12,-256,-4,-459,326,15
-16,-254,-5,-468,321,19
-15,-258,-4,-474,317,18
-17,-262,-6,-472,313,17
-20,-258,-1,-460,311,18
-17,-259,-2,-446,306,6
-16,-261,9,-429,299,-8
-14,-263,15,-407,296,-23
-8,-261,23,-383,298,-39
-9,-264,27,-362,309,-56
-4,-266,31,-333,324,-70
1,-268,39,-300,340,-85
3,-272,41,-275,361,-99
2,-274,42,-263,384,-106
7,-275,46,-251,401,-113
5,-278,50,-250,415,-118
10,-281,53,-246,428,-116
13,-279,52,-229,443,-119
13,-281,57,-200,458,-123
12,-274,53,-163,470,-125
8,-270,47,-143,475,-126
8,-269,44,-145,474,-126
2,-261,35,-176,470,-125
0,-260,32,-219,465,-126
-4,-260,20,-268,464,-129
-10,-253,18,-318,461,-131
-16,-251,17,-364,460,-138
-15,-253,12,-398,455,-145
-12,-254,13,-416,453,-154
-9,-253,14,-423,449,-164
-8,-253,13,-421,445,-171
-4,-252,12,-414,438,-184
0,-248,12,-401,427,-201
0,-246,18,-402,428,-206
0,-242,17,-415,420,-213
0,-242,15,-437,409,-216
0,-245,15,-460,400,-218
7,-246,21,-476,393,-221
2,-245,17,-479,385,-226
5,-245,16,-477,381,-223
1,-244,16,-478,377,-218
0,-244,13,-482,368,-210
-2,-241,11,-479,358,-205
-3,-239,9,-472,348,-199
-6,-237,10,-470,336,-193
-2,-235,6,-474,323,-188
-2,-236,9,-473,305,-186
-5,-234,7,-465,284,-179
-6,-228,10,-461,266,-179
-4,-235,5,-460,244,-177
-7,-229,4,-462,220,-174
-10,-232,7,-469,200,-167
-9,-235,8,-479,175,-152
-11,-238,6,-486,147,-140
-13,-243,14,-486,116,-130
-15,-245,11,-478,86,-122
-13,-245,20,-462,59,-116
-15,-245,28,-435,30,-109
-15,-244,30,-405,-4,-113
-13,-246,27,-388,-31,-103
-10,-247,40,-376,-59,-96
-12,-249,24,-362,-82,-92
-7,-249,28,-348,-99,-89
-9,-252,26,-334,-116,-76
-5,-252,25,-323,-135,-70
-3,-254,23,-318,-154,-62
-4,-257,23,-310,-171,-50
-3,-257,18,-302,-189,-36
0,-257,13,-288,-210,-27
1,-256,15,-274,-230,-15
0,-255,15,-257,-253,-6
1,-253,18,-242,-275,3
2,-250,13,-226,-299,11
4,-255,14,-207,-326,12
6,-252,23,-173,-343,11
12,-248,23,-127,-366,21
13,-245,24,-94,-386,25
10,-248,24,-82,-402,32
9,-246,23,-81,-422,40
12,-249,25,-82,-436,41
13,-253,25,-81,-443,39
18,-258,26,-78,-441,39
21,-259,25,-74,-443,40
24,-266,31,-71,-436,32
31,-276,29,-69,-419,26
34,-281,35,-65,-394,26
44,-285,31,-55,-374,26
45,-293,30,-40,-355,27
54,-303,31,-25,-337,37
66,-312,21,-16,-311,38
76,-319,16,-21,-274,37
81,-320,9,-47,-225,26
79,-321,2,-82,-172,19
85,-325,1,-118,-116,11
92,-331,-2,-146,-60,-3
91,-337,0,-160,-9,-17
87,-344,-1,-167,37,-31
83,-353,-3,-174,81,-42
70,-365,-1,-187,126,-65
62,-372,-9,-206,176,-100
56,-378,-10,-236,236,-147
52,-376,-10,-254,299,-194
45,-375,-7,-228,355,-230
30,-370,-3,-147,401,-248
23,-351,-2,-23,430,-239
30,-340,-11,123,441,-203
39,-322,-17,240,435,-157
37,-302,-37,296,428,-109
29,-288,-56,288,408,-50
21,-282,-73,223,378,14
14,-290,-85,122,344,67
11,-299,-93,8,316,108
0,-309,-96,-90,291,137
